email,name,type,genre,notes,status,date_added,date_sent,bounce
info@boomfestival.org,Boom Festival,festival,Psytrance/World Electronic,Portugal biennial psytrance+world music festival - align with psychedelic cultural vision - pitch Halleluyah & Renamed,sent,2026-04-04,2026-04-04,no
mainstage@ozorafestival.eu,Ozora Festival (Mainstage),festival,Psytrance/World,Hungary psytrance+world festival July 27-Aug 4 2026 - new contact (old contact@ozorafest.hu bounced) - pitch Halleluyah & Renamed,sent,2026-04-04,2026-04-04,no
tickets@sunblast.es,Sunblast Festival Tenerife,festival,Electronic/Techno/House,Largest electronic festival Canary Islands - Golf Costa Adeje - August 2026 - 7 stages - match genre to stage,sent,2026-04-04,2026-04-04,no
info@one-fest.com,OneFest Christian Music Festival,festival,Christian Music,Wisconsin annual 3-day Christian festival July 31-Aug 2 2026 - pitch Halleluyah/Living Water/He Is The Light,sent,2026-04-04,2026-04-04,no
reservas.papagayo@gmail.com,Papagayo Beach Club Tenerife,festival,Techno/House/EDM,Iconic Tenerife beach club with international DJs - Playa de las Americas - match genre to club style,sent,2026-04-04,2026-04-04,no
eventos@lasrocasbeachclub.com,Las Rocas Beach Club Tenerife,festival,Electronic/Deep House/Techno,Hosts international DJs weekends - Costa Adeje Tenerife - TUMBAO and AGUASANTA branded sessions,bounced,2026-04-04,2026-04-04,yes
contact@pharmacymusic.com,Pharmacy Music,label,Psytrance/Tech Trance,US biggest underground trance label by Christopher Lawrence - founded 2008 - pitch Halleluyah & Jericho,sent,2026-04-04,2026-04-04,no
info@sunstation.ru,Sun Station Records,label,Psytrance/Progressive,St. Petersburg Russia psytrance label founded 2005 - strictly psychedelic and progressive trance - pitch Halleluyah & Jericho,sent,2026-04-04,2026-04-04,no
booking@sugareefclub.com,Sugareef Club Tenerife,festival,Electronic/House/Techno,Iconic Tenerife nightclub CC Veronicas Playa de las Americas - international DJs nightly 8PM-4AM - match genre to club style,sent,2026-04-04,2026-04-04,no
submitpsytrance@gmail.com,PsyTrance Channel,curator,Psytrance,YouTube and SoundCloud psytrance channel accepting demos by email only - pitch Halleluyah & Jericho (email-only submissions),sent,2026-04-04,2026-04-04,no
info@lifest.com,Lifest Christian Festival,festival,Christian Music,One of largest Christian music festivals in US - Oshkosh WI - July 9-12 2026 - pitch Halleluyah/Living Water/He Is The Light,sent,2026-04-04,2026-04-04,no
rp@siampark.net,Siam Park Tenerife,festival,Electronic/Events,World-famous Tenerife water park with Siam Night DJ events Jul-Aug - PR/events contact - research genre fit before pitch,sent,2026-04-04,2026-04-04,no
info@abora-recordings.com,Abora Recordings,label,Progressive Trance/Uplifting,Quality orchestral uplifting balearic progressive trance label - responds to most demos in 2-3 weeks - pitch Living Water/He Is The Light/You See It All,sent,2026-04-04,2026-04-04,no
info@betamusicbooking.com,Beta Music Booking,festival,Psytrance/Progressive Techno,Israel-based talent booking agency for psytrance progressive trance and techno since 2018 - pitch artist profile + Halleluyah & Renamed,sent,2026-04-04,2026-04-04,no
info@oasistenerife.com,Oasis Club Tenerife,festival,House/Techno,Premium Tenerife destination for house and techno on Veronicas Strip Playa de las Americas - open daily 8PM-4AM - match genre to club style,sent,2026-04-04,2026-04-04,no
fictionrecordings@gmail.com,Psy Fiction Records,label,Psytrance/Dark/Forest/Hi-Tech,Lisbon Portugal psytrance label accepting all psy subgenres via private SoundCloud link - min 2 tracks with artist intro - pitch Halleluyah & Jericho,sent,2026-04-04,2026-04-04,no
info@tribalmusicgroup.com,Tribal Music Group,curator,Tribal/Bass/Electronic,Tribal music YouTube channel and label network - acquired BassBoosterz - pitch Renamed & Fire In Our Hands (ethnic tribal techno),sent,2026-04-04,2026-04-04,no
iparic70@gmail.com,Neogoa Records,label,Psytrance/Goa Trance,Goa trance collective founded 2010 promoting new school Goa trance - WAV or 320 MP3 required no SoundCloud links - pitch Halleluyah & Jericho,sent,2026-04-04,2026-04-04,no
info@suntriprecords.com,Suntrip Records,label,Goa Trance/Acid Trance,Belgian Goa & acid trance label since 2004 - old-school melodic acidic Goa psytrance on CD and digital - pitch Halleluyah & Jericho,sent,2026-04-04,2026-04-04,no
info@geomagnetic.tv,Geomagnetic Records / Spiral Trax,label,Psytrance/Progressive Goa,San Francisco Goa psytrance label (Geomagnetic + Spiral Trax) - progressive psytrance ambient downtempo - pitch Halleluyah & Jericho,sent,2026-04-04,2026-04-04,no
mail@twistedmusic.com,Twisted Records UK,label,Psytrance/Psychedelic,Simon Posford's UK psytrance label - home of Shpongle Hallucinogen Younger Brother - pitch Halleluyah & Jericho,sent,2026-04-04,2026-04-04,no
info@psyexperience-festival.com,Psychedelic Experience Festival,festival,Psytrance/Progressive,Germany 4-day progressive psytrance festival May 29-June 1 2026 Lubz Festival Grounds - lineup includes Avalon Blastoyz Liquid Soul - pitch Halleluyah & Renamed,sent,2026-04-04,2026-04-04,no
kbinfo@kingdombound.org,Kingdom Bound Ministries,festival,Christian Music,3-day Christian music festival July 27-29 2026 Six Flags Darien Lake Western NY - 4 stages 50+ artists - pitch Halleluyah & Living Water & He Is The Light,sent,2026-04-04,2026-04-04,no
info@alive.org,Alive Music Festival,festival,Christian Music,Annual 3-day Christian music festival July 16-18 2026 Atwood Lake Park Mineral City OH - pitch Halleluyah & Living Water & He Is The Light,sent,2026-04-04,2026-04-04,no
info@faithfestnc.com,FaithFest NC,festival,Christian Music,Christian music festival Wilkesboro NC September 11-12 2026 - pitch Halleluyah & Living Water & He Is The Light,sent,2026-04-04,2026-04-04,no
booking@grupomonkey.com,Monkey Beach Club Tenerife,festival,Electronic/House/Techno,Iconic Tenerife beach club Costa Adeje hosting international DJs since 2007 - also runs Kong venue - match genre to club style,sent,2026-04-04,2026-04-04,no
promo@melodicdeep.com,Melodic House & Techno Fam,curator,Melodic House & Techno,SoundCloud and social media promotion channel for melodic house and techno - pitch Living Water & He Is The Light & You See It All,sent,2026-04-04,2026-04-04,no
zen@altar-records.com,Altar Records,label,Psychedelic/Chillout/Ambient,Montreal psychedelic chillout label since 2009 DJ Zen - blends electronic psychedelic and chillout - pitch Living Water & He Is The Light & You See It All,sent,2026-04-04,2026-04-04,no
submissions@di.fm,DI.FM (Digitally Imported),curator,Electronic/Psytrance/Melodic Techno,Leading internet radio station with 90+ electronic music channels including psytrance and melodic techno - pitch Halleluyah to psytrance channel and Living Water to melodic techno channel,sent,2026-04-04,2026-04-04,no
info@dacru.be,Dacru Records,label,Psytrance/Progressive,Belgian psytrance label based in Boom - melodic psychedelic sound - pitch Halleluyah & Jericho,sent,2026-04-04,2026-04-04,no
info@digitalomproductions.in,Digital Om Productions,label,Psytrance/Progressive,Indian psytrance label Mumbai - digital and physical releases - demo to info@digitalomproductions.in - pitch Halleluyah & Jericho,pending,2026-04-04,,no
demos@polyptychmusic.com,Polyptych,label,Melodic Techno/House,Melodic techno and house label - SC private link only - pitch Living Water & He Is The Light & You See It All,pending,2026-04-04,,no
ovnimoon@gmail.com,Ovnimoon Records,label,Psytrance/Goa Trance,Chilean psytrance label founded 2010 - sub-label of Goa Records California - high-quality psychedelic goa trance - pitch Halleluyah & Jericho,sent,2026-04-04,2026-04-04,no
info@ragsnightclubtenerife.com,Rags Nightclub Tenerife,festival,Electronic/House/Techno,Iconic Tenerife nightclub Veronicas Strip Playa de las Americas - 20+ years - open daily 22:00-06:00 - 2 DJs nightly - powerful sound system - match genre to club style,sent,2026-04-04,2026-04-04,no
info@freeearth-festival.com,Free Earth Festival Greece,festival,Psytrance/Goa/World,Only European psytrance beach festival - Azapiko Beach Halkidiki Greece August 24-30 2026 - 250+ artists 3 stages - pitch Halleluyah & Renamed (world-meets-electronic vibe),pending,2026-04-04,,no
techno.addicts.records@gmail.com,Techno Addicts Records,label,Melodic Techno/Hard Techno,Techno label Barranquilla Colombia - melodic techno and hard techno - send 2+ complete tracks at 320kbps - pitch Living Water & He Is The Light & You See It All,pending,2026-04-04,,no
info@theabbeyfest.com,AbbeyFest,festival,Christian Music,Catholic faith-forward music festival Pennsylvania USA - contemporary Christian and worship artists - moved to Our Lady Shrine Doylestown 2025 - pitch Halleluyah & Living Water & He Is The Light,pending,2026-04-04,,no
m.t.eventservice@googlemail.com,Lalanda World Festival,festival,Psytrance/Progressive/HiTech,German psytrance festival June 11-14 2026 Dadow Mecklenburg - psytrance progressive and HiTech plus chillout - art visuals fire shows nature camping - pitch Halleluyah & Renamed,pending,2026-04-04,,no
info@psystation.com,PsyStation Radio,curator,Psytrance/Goa/Progressive,Leading 24/7 psytrance online radio with multiple genre-specific stations - Goa progressive fullon dark forest - pitch Halleluyah & Jericho for airplay,pending,2026-04-04,,no
contact@dmt-fm.com,DMT-FM Psytrance Radio,curator,Psytrance/Progressive,24/7 psytrance radio station broadcasting online - based Spain (+34 612485533) - artist showcase platform connecting with global psy fans - pitch Halleluyah & Jericho,pending,2026-04-04,,no
mail@dsokolovskiy.com,Daniel Lesden,curator,"psytrance,goa trance,progressive psy","Psytrance Guide — 8+ Spotify playlists (Psy-Trance, Goa, Psychedelic, Hi-Tech, Forest); ~400-700 saves/playlist; DJ/producer, JOOF Recordings label manager; artist-friendly, appreciates track context — pitch Jericho (140 BPM, Joshua 6)",pending,2026-04-16,,no
music@profoundrecords.in,Profound Records,curator,"psytrance,progressive psy",India-based psy label; strong 140 BPM catalogue fit; send mastered demo via private SoundCloud link — pitch Halleluyah or Jericho,pending,2026-04-16,,no
demos@iono-music.com,Iono Music,curator,"psytrance,progressive psy",Berlin-based psy-trance label + Spotify playlist presence; send mastered demo; large Beatport catalogue; general contact also info@iono-music.com — pitch Jericho (140 BPM psytrance),pending,2026-04-16,,no
management@widerbergmusic.com,widerberg,curator,"melodic techno,melodic house",MELODIC TECHNO playlist — #1 most-followed melodic techno playlist on Spotify (200K+ followers); Istanbul-based producer Cemre Korkmaz; Anyma/Argy/Kevin de Vries aesthetic — personalize heavily; pitch Renamed or Fire In Our Hands,pending,2026-04-16,,no
demos@novacollective.net,Nova Collective,curator,"melodic techno,techno",Melodic Techno 2024 playlist + label arm; dual curator+label shot; want high-quality dynamic tracks; pitch Jericho or melodic techno cut — label demo also accepted at demos@novacollective.net,pending,2026-04-16,,no
melodictechnolovers@gmail.com,Melodic Techno Lovers,curator,melodic techno,"Fan-community Spotify playlist curator; genre-exact fit; community reach on Facebook + Spotify; pitch Renamed or Fire In Our Hands — accessible inbox, personalized pitch over formal press kit",pending,2026-04-16,,no
info@mindfieldrecords.net,Mind Field Records,curator,"melodic techno,electronic",Berlin-based label; vivid emotional esoteric EDM aesthetic = exact Holy Rave brand alignment; Anyma/Rufus Du Sol adjacent — pitch Renamed or He Is The Light,pending,2026-04-16,,no
demos@tanzgemeinschaft.com,Tanzgemeinschaft,curator,"organic techno,afro house,melodic techno","Berlin label + magazine; dual pitch lane (demos@tanzgemeinschaft.com for label, music@tanzgemeinschaft.com for editorial); afro/organic branch fits tribal angle — pitch Living Water (124 BPM)",pending,2026-04-16,,no
demos@sacredearthrecords.com,Sacred Earth Records,curator,"organic house,tribal,downtempo",Spain-based tribal/organic/downtempo boutique label; ~8-10K IG; 2-4 finished tracks via private SoundCloud; up to 2 weeks response; also press@sacredearthrecords.com for Holy Rave press kit — pitch Living Water (124 BPM) or Fire In Our Hands,pending,2026-04-16,,no
basilisk@ektoplazm.com,Ektoplazm,curator,"psytrance,full-on,psychill,goa,darkpsy","World's largest free psytrance netlabel; 45K Facebook, millions of lifetime downloads; Basilisk is founder; pitch must be tight due to high volume — genre-perfect pitch for Jericho (140 BPM psytrance, Joshua 6 anchor)",pending,2026-04-16,,no
